date,coin_id,symbol,price_usd,total_volume_usd,daily_return,log_return,roll_vol_30d,roll_mean_30d
2018-02-12,binancecoin,BNB,9.3389,17582215.104663,0.07665436937975567,0.07385842687251828,2.1940874398715278,12.043000000000001
2018-02-13,binancecoin,BNB,9.016,12322372.961558,-0.03457580657250858,-0.03518769554821757,2.188154068726489,11.66173
2018-02-14,binancecoin,BNB,10.4096,24867818.305358,0.15456965394853595,0.1437276805594201,2.264745631797606,11.364063333333332
2018-02-15,binancecoin,BNB,10.8661,45428000.507594,0.04385375038426065,0.04291939380867861,1.8603838824479102,11.28628
2018-02-16,binancecoin,BNB,11.25,21239028.809381,0.035330063224155994,0.034720277544855356,1.8445003495808812,11.187953333333333
2018-02-17,binancecoin,BNB,11.66,26288227.895486,0.0364444444444445,0.035796052271917234,1.8507384660219195,11.105296666666666
2018-02-18,binancecoin,BNB,10.6631,24076691.296683,-0.08549742710120067,-0.08937499770651466,1.858755972411832,10.962576666666667
2018-02-19,binancecoin,BNB,11.0601,14693133.116507,0.037231199182226504,0.036554854428802186,1.838681933032247,10.792206666666665
2018-02-20,binancecoin,BNB,9.8888,25120547.905454,-0.10590320159853894,-0.1119412340531576,1.8213089953307307,10.65072
2018-02-21,binancecoin,BNB,9.3799,21918750.268079,-0.0514622603349244,-0.05283370161098196,1.8054999248198171,10.533050000000001
2018-02-22,binancecoin,BNB,8.86,16364492.720244,-0.055427030138914035,-0.0570223373635048,1.810137691656693,10.391643333333331
2018-02-23,binancecoin,BNB,9.693,14877321.473729,0.09401805869074487,0.08985721089348127,1.831992277103009,10.254743333333334
2018-02-24,binancecoin,BNB,9.0873,12541275.414407,-0.0624883936861651,-0.06452614114611302,1.8376680389045368,10.117969999999998
2018-02-25,binancecoin,BNB,9.35,8166986.474999,0.028908476665235883,0.028498508936237732,1.8430436347284511,9.991823333333334
2018-02-26,binancecoin,BNB,9.9199,12220016.044725,0.060951871657754175,0.059166497300214616,1.8564427773340682,9.87584
2018-02-27,binancecoin,BNB,10.56,25366239.499568,0.06452686014979991,0.06253043767730534,1.8693145698002425,9.76871
2018-02-28,binancecoin,BNB,10.4536,17222788.462377,-0.010075757575757627,-0.010126861585316149,1.855345657141286,9.689996666666667
2018-03-01,binancecoin,BNB,10.4768,12865720.182066,0.002219331139511782,0.002216872061824741,1.8173455056658963,9.656726666666666
2018-03-02,binancecoin,BNB,10.2348,7352923.498799,-0.023098656078191948,-0.023369610623697114,1.8183357789585028,9.620783333333334
2018-03-03,binancecoin,BNB,10.2399,6565327.501765,0.0004982999179270475,0.0004981758077506267,1.711912892906112,9.644986666666666
2018-03-04,binancecoin,BNB,10.4139,5999839.606848,0.016992353440951513,0.01684959829769637,1.7109033446841422,9.66717
2018-03-05,binancecoin,BNB,10.0847,4817003.637165,-0.03161159603990826,-0.03212202842188585,1.715045889624629,9.679153333333334
2018-03-06,binancecoin,BNB,9.3899,9004310.681736,-0.06889644709312115,-0.07138478027828742,1.645679207968735,9.713780000000002
2018-03-07,binancecoin,BNB,9.0405,26852891.548299,-0.037210193931777824,-0.037920160927129444,1.452794461399136,9.790746666666667
2018-03-08,binancecoin,BNB,8.2703,15950752.244674,-0.0851944029644377,-0.08904369853613434,1.3107296548328544,9.790989999999999
2018-03-09,binancecoin,BNB,8.2807,14901604.200198,0.0012575118194018131,0.001256721813638878,1.3077892388706147,9.79819
2018-03-10,binancecoin,BNB,7.65,17878163.37168,-0.07616505850954625,-0.07922185804813148,1.3335341278854569,9.77722
2018-03-11,binancecoin,BNB,8.268,21201501.075759,0.08078431372549022,0.07768699398107738,1.2081079106584467,9.724153333333334
2018-03-12,binancecoin,BNB,8.034,20891213.106571,-0.028301886792452824,-0.028710105882431367,1.1926446047226789,9.683793333333334
2018-03-13,binancecoin,BNB,10.2188,69292853.792193,0.2719442369927805,0.24054662511482655,1.4479465858654617,9.735286666666667
2018-03-14,binancecoin,BNB,8.9243,50429708.105629,-0.12667827925000974,-0.1354512678346643,1.5063915029995658,9.721466666666666
2018-03-15,binancecoin,BNB,9.1047,38290247.370829,0.02021447060273629,0.020012870490330705,1.503162447612822,9.724423333333334
